time,milliseconds,measurement,value,field,type,host,device,platform
15:46:35:27,17802,IMU,2905,mx,magnet,Name,Device1,Android
15:46:35:27,17802,IMU,-6364,my,magnet,Name,Device1,Android
15:46:35:27,17802,IMU,3148,mz,magnet,Name,Device1,Android
15:46:35:50,17825,sensor,382,a0,adc,Name,Device1,Android
15:46:35:87,17862,IMU,-162,ax,acceleration,Name,Device1,Android
15:46:35:87,17862,IMU,990,ay,acceleration,Name,Device1,Android
15:46:35:87,17862,IMU,19,az,acceleration,Name,Device1,Android
15:46:35:94,17869,IMU,29,gx,gyration,Name,Device1,Android
15:46:35:94,17869,IMU,9,gy,gyration,Name,Device1,Android
15:46:35:94,17869,IMU,120,gz,gyration,Name,Device1,Android
15:46:35:117,17892,IMU,2474,mx,magnet,Name,Device1,Android
15:46:35:117,17892,IMU,-6359,my,magnet,Name,Device1,Android
15:46:35:117,17892,IMU,3152,mz,magnet,Name,Device1,Android
15:46:35:140,17915,sensor,204,a0,adc,Name,Device1,Android
15:46:35:161,17937,IMU,-15,ax,acceleration,Name,Device1,Android
15:46:35:161,17937,IMU,1030,ay,acceleration,Name,Device1,Android
15:46:35:161,17937,IMU,69,az,acceleration,Name,Device1,Android
15:46:35:184,17959,IMU,-15,gx,gyration,Name,Device1,Android
15:46:35:184,17959,IMU,65,gy,gyration,Name,Device1,Android
15:46:35:184,17959,IMU,136,gz,gyration,Name,Device1,Android
15:46:35:207,17982,IMU,2062,mx,magnet,Name,Device1,Android
15:46:35:207,17982,IMU,-6321,my,magnet,Name,Device1,Android
15:46:35:207,17982,IMU,3163,mz,magnet,Name,Device1,Android
15:46:35:229,18004,sensor,69,a0,adc,Name,Device1,Android
15:46:35:252,18027,IMU,-103,ax,acceleration,Name,Device1,Android
15:46:35:252,18027,IMU,860,ay,acceleration,Name,Device1,Android
15:46:35:252,18027,IMU,-145,az,acceleration,Name,Device1,Android
15:46:35:275,18050,IMU,-46,gx,gyration,Name,Device1,Android
15:46:35:275,18050,IMU,48,gy,gyration,Name,Device1,Android
15:46:35:275,18050,IMU,117,gz,gyration,Name,Device1,Android
15:46:35:297,18072,IMU,1703,mx,magnet,Name,Device1,Android
15:46:35:297,18072,IMU,-6237,my,magnet,Name,Device1,Android
15:46:35:297,18072,IMU,2950,mz,magnet,Name,Device1,Android
15:46:35:320,18095,sensor,124,a0,adc,Name,Device1,Android
15:46:35:344,18119,IMU,-831,ax,acceleration,Name,Device1,Android
15:46:35:344,18119,IMU,614,ay,acceleration,Name,Device1,Android
15:46:35:344,18119,IMU,-692,az,acceleration,Name,Device1,Android
15:46:35:364,18139,IMU,-13,gx,gyration,Name,Device1,Android
15:46:35:364,18139,IMU,-63,gy,gyration,Name,Device1,Android
15:46:35:364,18139,IMU,64,gz,gyration,Name,Device1,Android
15:46:35:387,18162,IMU,1422,mx,magnet,Name,Device1,Android
15:46:35:387,18162,IMU,-6082,my,magnet,Name,Device1,Android
15:46:35:387,18162,IMU,2787,mz,magnet,Name,Device1,Android
15:46:35:408,18183,sensor,204,a0,adc,Name,Device1,Android
15:46:35:431,18206,IMU,502,ax,acceleration,Name,Device1,Android
15:46:35:431,18206,IMU,996,ay,acceleration,Name,Device1,Android
15:46:35:431,18206,IMU,-16,az,acceleration,Name,Device1,Android
15:46:35:453,18228,IMU,13,gx,gyration,Name,Device1,Android
15:46:35:453,18228,IMU,30,gy,gyration,Name,Device1,Android
15:46:35:453,18228,IMU,17,gz,gyration,Name,Device1,Android
15:46:35:476,18251,IMU,1316,mx,magnet,Name,Device1,Android
15:46:35:476,18251,IMU,-6069,my,magnet,Name,Device1,Android
15:46:35:476,18251,IMU,2855,mz,magnet,Name,Device1,Android
15:46:35:499,18274,sensor,264,a0,adc,Name,Device1,Android
15:46:35:526,18301,IMU,196,ax,acceleration,Name,Device1,Android
